Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.L_CEI_MT_14803,    4.75243,   -41.67,    4.75243,  -161.67,    4.75243,    78.33,          0,     0.00, 9.27824E-009,    72.47,    4.75243,   138.33,    4.75243,    18.33,    4.75243,  -101.67,          0,     0.00, 8.39483E-009,  -123.69
Line.L_CEI_MT_14804,    4.75243,   -41.67,    4.75243,  -161.67,    4.75243,    78.33,          0,     0.00, 5.1434E-009,    95.19,    4.75243,   138.33,    4.75243,    18.33,    4.75243,  -101.67,          0,     0.00, 6.98492E-009,   -90.00
Line.L_CEI_MT_14805,    4.75243,   -41.67,    4.75243,  -161.67,    4.75243,    78.33,          0,     0.00, 1.17804E-008,   108.43,    4.75243,   138.33,    4.75243,    18.33,    4.75243,  -101.67,          0,     0.00, 1.36955E-008,   -72.18
Line.L_CEI_MT_14806,    1.05614,   -41.67,    1.05614,  -161.67,    1.05614,    78.33,          0,     0.00, 5.96337E-009,   128.66,    1.05614,   138.33,    1.05614,    18.33,    1.05614,  -101.67,          0,     0.00, 3.35793E-009,   -56.31
Line.L_CEI_MT_14807,    1.05614,   138.33,    1.05614,    18.33,    1.05614,  -101.67,          0,     0.00, 8.39483E-009,   -56.31,    1.05614,   -41.67,    1.05614,  -161.67,    1.05614,    78.33,          0,     0.00, 9.59985E-009,   112.83
Line.L_CEI_MT_14808,    1.05614,   -41.67,    1.05614,  -161.67,    1.05614,    78.33,          0,     0.00, 5.66501E-009,  -170.54,    1.05614,   138.33,    1.05614,    18.33,    1.05614,  -101.67,          0,     0.00, 9.27824E-009,    17.53
Line.L_CEI_MT_14809,    43.8294,   -41.67,    43.8294,  -161.67,    43.8294,    78.33,          0,     0.00, 7.49876E-006,  -163.38,    43.8294,   138.33,    43.8294,    18.33,    43.8294,  -101.67,          0,     0.00, 7.49756E-006,    16.62
Line.L_CEI_MT_14810,    1.58455,   138.33,    1.58455,    18.33,    1.58455,  -101.67,          0,     0.00, 5.45043E-009,  -109.98,    1.58455,   -41.67,    1.58455,  -161.67,    1.58455,    78.33,          0,     0.00, 2.98169E-009,    38.66
Line.L_CEI_MT_14811,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 3.59495E-008,    53.43,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 3.67017E-008,  -125.71
Line.L_CEI_MT_14812,     4.7621,   -41.69,     4.7621,  -161.69,     4.7621,    78.31,          0,     0.00, 3.11297E-008,    55.36,     4.7621,   138.31,     4.7621,    18.31,     4.7621,  -101.69,          0,     0.00, 3.11471E-008,  -121.55
